City,City ID,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (MPH)
Chokurdakh,2126123,100,RU,98,70.62,147.9,32.27,7.16
Mahibadhoo,1337605,100,MV,77,3.78,72.97,85.73,16.35
Duldurga,2024812,56,RU,45,50.67,113.59,39.11,2.01
Te Anau,2181625,92,NZ,95,-45.41,167.72,46.13,3.38
Iqaluit,5983720,90,CA,80,63.75,-68.52,35.6,14.99
Curup,1645875,95,ID,96,-3.47,102.53,66.83,3.67
Kapaa,5848280,40,US,69,22.08,-159.32,81.0,11.41
Vila Franca do Campo,3372472,75,PT,72,37.72,-25.43,66.2,5.82
Hasaki,2112802,0,JP,72,35.73,140.83,72.0,4.7
Port Elizabeth,4501427,75,US,50,39.31,-74.98,86.0,4.7
Tuatapere,2180815,100,NZ,94,-46.13,167.69,48.99,16.89
Pochutla,3517970,40,MX,62,15.74,-96.47,90.0,19.46
Atuona,4020109,51,PF,69,-9.8,-139.03,81.95,12.59
Pitimbu,3391889,40,BR,74,-7.47,-34.81,82.4,11.41
Ixtapa,4004293,40,MX,69,20.71,-105.21,82.4,10.29
Vaini,1273574,22,IN,86,15.34,74.49,79.97,2.04
Kodiak,4407665,90,US,78,39.95,-94.76,79.0,13.87
Lompoc,5367788,20,US,55,34.64,-120.46,69.01,17.22
Kakching,1268567,0,IN,94,24.5,93.98,66.29,2.59
Pisco,3932145,75,PE,30,-13.71,-76.2,71.6,9.17
Puerto Ayora,3652764,75,EC,65,-0.74,-90.35,82.4,21.92
Dakar,2253354,0,SN,61,14.69,-17.45,77.0,11.41
Nikolskoye,546105,75,RU,76,59.7,30.79,53.6,4.47
Ilulissat,3423146,40,GL,70,69.22,-51.1,42.8,4.7
Cabo San Lucas,3985710,5,MX,65,22.89,-109.91,89.01,8.05
Francistown,933778,0,BW,43,-21.17,27.5,55.4,4.7
Yining,1786538,0,CN,85,29.04,114.56,61.25,4.85
Huambo,3348313,0,AO,53,-12.78,15.73,56.03,2.93
Sturgeon Bay,5274867,90,US,87,44.83,-87.38,57.99,20.8
Abalak,2448245,70,NE,22,15.46,6.28,97.43,9.19
Bredasdorp,1015776,100,ZA,67,-34.53,20.04,60.8,10.29
Buala,2109528,100,SB,74,-8.15,159.59,81.95,6.33
Tasiilaq,3424607,11,GL,74,65.61,-37.64,33.8,11.41
Fortuna,2517679,20,ES,77,38.18,-1.13,71.01,6.93
Kununurra,2068110,100,AU,67,-15.77,128.74,62.6,1.12
Basco,4863349,90,US,65,40.33,-91.2,82.99,19.46
Constitucion,4011743,90,MX,13,23.99,-104.67,86.0,5.82
Bambous Virieux,1106677,40,MU,64,-20.34,57.76,73.4,10.29
Saint-Francois,2980080,100,FR,82,46.42,3.91,60.8,2.24
Labuhan,1641899,58,ID,94,-2.54,115.51,74.39,2.39
Saint-Philippe,6138908,75,CA,62,45.36,-73.48,64.0,8.05
Narsaq,3421719,3,GL,33,60.91,-46.05,59.0,14.99
El Paso,5520993,1,US,7,31.76,-106.49,90.0,23.04
Yellowknife,6185377,75,CA,49,62.45,-114.38,48.0,9.17
Kaitangata,2208248,98,NZ,82,-46.28,169.85,48.99,5.32
Vera Cruz,3445304,0,BR,75,-22.22,-49.82,66.11,4.45
Lavrentiya,4031637,96,RU,73,65.58,-170.99,37.85,3.09
Maha Sarakham,1608900,100,TH,94,16.19,103.3,77.0,5.28
Luxeuil-les-Bains,2996995,58,FR,87,47.82,6.38,59.0,5.82
Ahipara,2194098,59,NZ,100,-35.17,173.16,63.0,32.48
Yuxia,1785572,20,CN,87,34.06,108.63,55.4,4.47
Gracac,789107,0,RS,77,43.65,20.83,64.4,5.82
Banda Aceh,1215502,63,ID,72,5.56,95.32,84.47,5.88
Camacha,2270385,75,PT,77,33.08,-16.33,69.01,13.87
Los Llanos de Aridane,2514651,40,ES,77,28.66,-17.92,69.8,13.87
Sao Joao da Barra,3448903,0,BR,65,-21.64,-41.05,80.6,13.87
Neftegorsk,522945,58,RU,91,52.8,51.16,60.89,3.65
Kabompo,916246,95,ZM,63,-13.6,24.21,63.77,4.18
Cape Town,3369157,20,ZA,72,-33.93,18.42,60.01,12.75
Privas,2985290,0,FR,49,44.74,4.6,68.0,16.11
College,5859699,75,US,29,64.86,-147.8,64.0,12.75
Padang,1633419,95,ID,75,-0.92,100.36,84.29,5.53
Las Choapas,3524903,40,MX,44,17.91,-94.09,98.6,11.41
Phek,1259784,0,IN,72,25.7,94.46,72.41,3.78
Barrow,3833859,0,AR,51,-38.31,-60.23,54.41,3.83
Mount Isa,2065594,99,AU,47,-20.73,139.49,55.4,14.99
Chanute,4269392,75,US,66,37.68,-95.46,84.2,19.46
Grahamstown,1000501,100,ZA,93,-33.31,26.53,58.91,4.45
Bathsheba,3374083,40,BB,62,13.22,-59.52,87.8,13.87
Le Port,3036965,85,FR,82,42.87,1.37,60.01,1.99
Fare,4034496,0,PF,72,-16.7,-151.02,81.59,5.03
Norman Wells,6089245,40,CA,48,65.28,-126.83,66.2,16.11
Thompson,6165406,90,CA,42,55.74,-97.86,62.6,13.87
Shinpokh,1165057,0,PK,34,34.33,71.18,80.6,4.7
Nyurba,2018735,99,RU,75,63.29,118.35,46.85,5.46
Kenitra,2544571,0,MA,68,34.26,-6.57,70.0,9.17
Talnakh,1490256,75,RU,92,69.49,88.39,28.4,4.47
Avarua,4035715,4,CK,73,-21.21,-159.78,77.0,11.41
Paamiut,3421193,0,GL,92,61.99,-49.67,37.49,9.93
Vytegra,469960,100,RU,94,61.01,36.45,43.97,6.73
Bone,2057087,69,ID,73,-10.32,123.57,82.31,19.6
Port Hawkesbury,6111867,90,CA,58,45.62,-61.36,55.99,9.17
Nome,4732862,75,US,55,30.04,-94.42,90.0,11.41
Victoria,1733782,75,BN,88,5.28,115.24,80.6,2.24
Keuruu,652977,0,FI,87,62.26,24.71,50.0,4.7
Descalvado,3464809,0,BR,35,-21.91,-47.62,82.0,1.99
Hermanus,3366880,44,ZA,82,-34.42,19.24,59.0,4.0
Esperance,3573739,20,TT,52,10.24,-61.45,89.6,13.87
Torbay,6167817,90,CA,100,47.66,-52.73,39.99,11.41
Bandar,1649593,100,ID,90,-4.2,104.14,73.67,3.02
Mahebourg,934322,40,MU,64,-20.41,57.7,73.4,10.29
Longyearbyen,2729907,0,NO,50,78.22,15.63,30.2,8.05
Tiksi,2015306,1,RU,88,71.64,128.87,29.57,4.36
Rosetown,6127749,0,CA,19,51.55,-107.99,71.01,5.99
Ishigaki,1861416,100,JP,87,24.34,124.16,78.53,13.29
Ovre Ardal,3143034,40,NO,56,61.32,7.8,42.8,20.8
Sept-Iles,6144312,40,CA,43,50.2,-66.38,51.01,17.22
Henties Bay,3356832,98,NA,95,-22.12,14.28,55.99,9.78
Saint-Georges,6295855,0,CA,48,46.12,-70.67,57.0,11.99
Shambu,328709,98,ET,84,9.57,37.1,60.17,1.28
Pedernales,3653307,100,EC,85,0.07,-80.05,77.99,20.89
Durant,4535414,1,US,54,33.99,-96.37,86.0,18.34
Hualmay,3939761,65,PE,91,-11.1,-77.61,63.59,17.58
Cotonou,2394819,40,BJ,74,6.37,2.43,84.2,11.41
Zhigansk,2012530,0,RU,64,66.77,123.37,42.17,9.51
Alofi,4036284,40,NU,83,-19.06,-169.92,73.4,4.7
Longhua,1805798,94,CN,83,29.21,106.21,63.23,3.13
Hobart,2163355,75,AU,61,-42.88,147.33,48.2,8.05
Cayenne,3382160,75,GF,70,4.94,-52.33,86.0,13.87
Yantongshan,2033449,0,CN,80,43.28,126.02,45.41,8.21
Port Lincoln,2063036,100,AU,72,-34.72,135.86,60.89,25.7
Mar del Plata,3863379,15,AR,50,-46.43,-67.52,45.23,11.5
Tambacounda,2244991,0,SN,37,13.77,-13.67,102.2,9.17
Clyde River,5924351,75,CA,97,70.47,-68.59,33.8,14.99
Bonoua,2291087,40,CI,94,5.27,-3.6,78.8,4.7
Bethel,5880568,90,US,71,60.79,-161.76,53.6,12.75
Parry Sound,6098747,94,CA,54,45.34,-80.04,64.0,14.0
Ancud,3899695,75,CL,87,-41.87,-73.83,48.2,3.36
San-Pedro,2282006,100,CI,98,4.75,-6.64,73.85,3.0
Carnarvon,1014034,67,ZA,68,-30.97,22.13,52.61,5.39
Faanui,4034551,3,PF,73,-16.48,-151.75,82.13,5.61
Paka,3190586,0,HR,93,45.29,18.06,64.0,6.93
Shenzhen,1795565,40,CN,83,22.54,114.05,82.0,8.05
Vila Velha,6320062,20,BR,66,-3.71,-38.6,84.2,12.75
Carquefou,3028535,0,FR,67,47.3,-1.49,62.01,11.41
Ust-Karsk,2013942,0,RU,54,52.71,118.82,35.87,3.83
Mogadishu,53654,70,SO,86,2.04,45.34,78.71,7.99
Natal,3394023,40,BR,74,-5.81,-35.21,80.6,5.82
Kidal,2455290,13,ML,10,18.44,1.41,101.39,8.99
Inverness,2646088,75,GB,81,57.48,-4.23,48.99,5.82
Cidreira,3466165,100,BR,86,-30.17,-50.22,66.47,4.63
Carupano,3646382,100,VE,83,10.67,-63.26,80.87,3.22
Naze,2337542,75,NG,94,5.43,7.07,80.6,3.36
Iberia,3938531,15,PE,54,-11.41,-69.49,88.61,2.21
Calvinia,3369174,0,ZA,69,-31.47,19.78,55.67,8.19
Ajra,1279154,0,IN,92,16.12,74.21,74.39,2.44
Havre-Saint-Pierre,5972291,90,CA,93,50.23,-63.6,46.4,16.11
Necochea,3430443,0,AR,74,-38.55,-58.74,61.0,0.25
Sarkand,1519691,0,KZ,53,45.41,79.91,47.93,3.87
Gat,2249901,0,SN,61,14.69,-16.54,77.0,11.41
Dali,1814093,0,CN,82,25.6,100.24,55.31,2.71
Carutapera,3402648,100,BR,92,-1.2,-46.02,77.27,5.17
Karratha,6620339,0,AU,27,-20.74,116.85,75.83,12.97
Leshukonskoye,535839,97,RU,91,64.9,45.76,41.99,8.01
Mackay,5921525,20,CA,26,53.65,-115.58,69.8,3.36
Zanesville,4528923,75,US,54,39.94,-82.01,82.0,8.05
Maniitsoq,3421982,0,GL,75,65.42,-52.9,41.09,8.28
Ryotsu,1853371,100,JP,73,38.08,138.43,69.8,4.7
Kyren,2021031,100,RU,98,51.68,102.13,25.25,6.44
Adrar,2508813,0,DZ,15,27.87,-0.29,91.4,11.41
Apeldoorn,2759706,90,NL,62,52.22,5.96,59.0,4.7
Kungurtug,1501377,100,RU,89,50.6,97.53,36.59,2.75
Kongolo,212360,60,CD,59,-5.39,27.0,76.73,4.79
Road Town,3577430,20,VG,70,18.42,-64.62,84.2,6.93
Marfino,503977,0,RU,67,56.07,37.56,66.0,8.95
Springbok,3361142,0,ZA,74,-29.67,17.88,59.45,7.18
Kuandian,2036283,0,CN,67,40.73,124.78,42.89,2.8
Hartford,4835797,40,US,29,41.76,-72.69,82.4,5.82
Qeshm,119374,0,IR,38,26.96,56.27,89.6,4.7
Upernavik,3418910,89,GL,93,72.79,-56.15,31.55,13.09
Kavaratti,1267390,79,IN,77,10.57,72.64,85.55,11.61
Praya,1630662,20,ID,94,-8.71,116.27,75.2,5.82
Oranjemund,3354071,0,ZA,88,-28.55,16.43,56.21,18.45
Aksarayskiy,583683,75,RU,88,46.79,48.01,64.4,6.71
Coffs Harbour,2171085,0,AU,81,-30.3,153.13,50.0,6.93
Aksu,1524298,0,KZ,70,52.04,76.93,42.8,4.47
Herat,1140026,22,AF,17,34.35,62.22,72.77,11.86
Sale,2638678,75,GB,87,53.42,-2.32,53.6,4.7
Sirpur,1266124,1,IN,16,18.94,78.68,99.59,14.67
Itarema,3393692,100,BR,82,-2.92,-39.92,79.61,7.56
Pevek,2122090,100,RU,95,69.7,170.27,32.45,8.14
Bandarbeyla,64814,100,SO,71,9.49,50.81,84.47,12.62
Vardo,4372777,20,US,42,39.62,-77.74,84.2,5.82
Guerrero Negro,4021858,0,MX,79,27.97,-114.04,62.69,18.81
La Ronge,6050066,90,CA,55,55.1,-105.3,60.8,11.41
Santa Rosa,3835994,0,AR,58,-36.62,-64.29,55.85,3.31
Sarahan,1257277,0,IN,28,31.51,77.79,51.35,7.74
Charters Towers,2171722,100,AU,79,-20.07,146.27,66.11,0.58
Castro,3896218,75,CL,87,-42.48,-73.76,48.2,3.36
Saint-Pierre,2995603,0,FR,67,48.95,4.24,60.8,8.05
Kargat,1504380,96,RU,58,55.19,80.28,50.27,18.16
Kudahuvadhoo,1337607,100,MV,74,2.67,72.89,85.73,19.55
Bouake,2290956,100,CI,78,7.69,-5.02,79.97,9.75
Plaster Rock,7290171,40,CA,29,46.91,-67.4,60.8,14.99
Kenora,5991056,1,CA,47,49.76,-94.48,60.8,3.36
Sabang,1691355,100,PH,80,13.72,123.58,82.13,4.9
Bagan,1511094,44,RU,38,54.1,77.67,54.77,12.66
Kapit,1737185,73,MY,93,2.02,112.94,74.75,1.25
Saint-Augustin,3031582,20,FR,77,44.83,-0.61,59.0,9.17
Estelle,4671240,40,US,48,32.87,-97.01,90.0,19.46
Khatanga,2022572,100,RU,95,71.98,102.47,33.89,8.95
Aksarka,1512019,100,RU,98,66.56,67.8,34.97,8.19
Shache,1280037,100,CN,23,38.42,77.24,70.61,2.77
Beringovskiy,2126710,63,RU,71,63.05,179.32,43.07,5.99
Aden,415189,63,YE,37,12.79,45.03,91.67,3.24
Mount Gambier,2156643,75,AU,93,-37.83,140.78,51.8,16.11
Paita,3694112,0,PE,290,-5.09,-81.11,62.6,18.34
Mishan,2035746,100,CN,89,45.55,131.88,47.93,22.24
Sabzevar,118063,92,IR,48,36.21,57.68,69.71,6.24
Atar,2381334,0,MR,13,20.52,-13.05,100.85,10.87
Naron,3115739,20,ES,76,43.52,-8.15,57.99,9.17
Levelland,5525042,20,US,19,33.59,-102.38,91.0,18.34
Nouadhibou,2377457,0,MR,77,20.93,-17.03,68.0,17.22
Sampit,1628884,85,ID,96,-2.54,112.95,73.49,2.75
Korhogo,2286304,95,CI,61,9.46,-5.63,83.93,6.73
Cherskiy,2126199,99,RU,81,68.75,161.3,38.93,6.11
Kavieng,2094342,78,PG,73,-2.57,150.8,83.03,4.81
Salto,3440714,75,UY,82,-31.39,-57.96,68.0,5.82
Virginia Beach,4791259,40,US,51,36.85,-75.98,88.0,11.41
Planaltina,3453420,40,BR,48,-15.62,-47.66,82.4,8.05
Airai,1651810,99,TL,73,-8.93,125.41,73.67,7.36
Sisimiut,3419842,4,GL,72,66.94,-53.67,39.65,10.02
Karpathos,260895,0,GR,73,35.51,27.21,69.8,8.05
Okhotsk,2122605,43,RU,73,59.36,143.24,45.41,5.55
Lakes Entrance,2160735,3,AU,62,-37.88,147.99,51.01,4.0
Namibe,3347019,0,AO,71,-15.19,12.15,71.87,8.81
Grand-Santi,3381538,100,GF,96,4.27,-54.38,78.17,3.24
Abong Mbang,2236053,96,CM,98,3.98,13.18,69.53,2.93
Gorey,64536,51,SO,89,3.22,43.63,73.85,11.41
Wahiawa,5853992,75,US,57,21.5,-158.02,84.2,6.93
Fort Nelson,5955902,20,CA,36,58.81,-122.69,77.0,4.7
Mayumba,2399001,100,GA,88,-3.44,10.65,77.45,6.73
Mitsamiouli,921786,20,KM,83,-11.38,43.28,75.2,1.12
Souillac,3026644,0,FR,72,45.6,-0.6,60.8,10.29
Sao Filipe,3374210,0,CV,78,14.9,-24.5,74.03,13.18
Chipiona,3933345,27,PE,57,-14.54,-75.2,71.69,12.35
Saint George,262462,75,GR,77,39.45,22.34,66.2,1.99
Codrington,2160063,0,AU,66,-28.95,153.24,54.0,4.7
Rocha,3440777,100,UY,95,-34.48,-54.34,57.11,2.68
Veraval,3031871,75,FR,76,49.65,0.71,55.4,11.41
Osoyoos,6094665,1,CA,31,49.03,-119.47,77.0,12.75
Platanos,255036,1,GR,53,35.47,23.6,73.0,8.32
Mareeba,2158767,90,AU,88,-16.99,145.42,69.8,10.29
Manakara,1061605,88,MG,87,-22.14,48.01,67.01,2.17
Indaial,3461316,20,BR,78,-26.9,-49.24,72.0,11.41
Severo-Kurilsk,2121385,72,RU,91,50.68,156.12,38.57,11.92
Severo-Yeniseyskiy,1492566,100,RU,71,60.37,93.04,35.51,5.3
Purranque,3874579,75,CL,93,-40.91,-73.16,50.0,5.82
Omboue,2396853,100,GA,86,-1.57,9.26,78.53,11.7
Coahuayana,3981460,90,MX,26,18.62,-100.35,99.95,4.94
Meulaboh,1214488,100,ID,79,4.14,96.13,81.59,6.8
Port Macquarie,2152659,0,AU,52,-31.43,152.91,46.99,4.7
Dwarka,1273294,0,IN,19,28.58,77.04,97.0,7.23
Nichinan,1855476,97,JP,88,31.65,131.31,71.01,4.21
San Carlos de Bariloche,7647007,75,AR,65,-41.13,-71.31,44.6,20.8
Tooele,5783695,40,US,66,40.53,-112.3,63.0,6.93
Sergeyevka,1519385,43,KZ,42,53.88,67.42,55.31,9.98
Solano,1685876,73,PH,95,16.52,121.18,64.31,2.24
Saldanha,2737599,88,PT,57,41.42,-6.55,63.05,4.92
Cairns,2172797,90,AU,88,-16.92,145.77,69.8,10.29
Fairbanks,5861897,90,US,33,64.84,-147.72,64.0,11.41
Matara,3948642,0,PE,36,-13.74,-72.9,62.6,9.42
Touros,3386213,75,BR,83,-5.2,-35.46,78.8,4.7
Ushtobe,1517637,0,KZ,42,45.25,77.98,54.59,15.99
Konevo,726885,91,BG,65,41.67,25.61,70.0,8.81
Soe,587876,75,EE,93,57.91,26.05,55.99,9.17
Badou,2367660,100,TG,75,7.58,0.61,79.07,6.82
Maldonado,3441894,75,UY,82,-34.91,-54.96,60.8,2.24
Meiganga,2227402,100,CM,92,6.52,14.29,69.35,1.92
Sal Rei,3374235,40,CV,61,16.18,-22.92,77.0,12.75
Kahului,5847411,20,US,45,20.89,-156.47,87.8,13.87
Kabalo,215668,85,CD,56,-6.05,26.92,77.99,5.61
Nova Olinda do Norte,3393838,100,BR,72,-3.89,-59.1,84.11,3.09
Broken Hill,2173911,0,AU,81,-31.97,141.45,44.6,10.29
Tual,1623197,69,ID,79,-5.67,132.75,82.31,18.57
Kiruna,605155,1,SE,75,67.86,20.23,42.8,2.24
Balkhash,1525798,0,KZ,35,46.84,74.98,57.11,12.33
North Augusta,6113027,1,CA,55,44.76,-75.74,64.0,8.05
Tigzirt,2504703,91,DZ,76,36.57,4.2,55.67,3.53
Comodoro Rivadavia,3860443,40,AR,43,-45.87,-67.48,55.4,13.87
Grand Gaube,934479,40,MU,64,-20.01,57.66,73.4,10.29
Lata,1253628,0,IN,63,30.78,78.62,27.95,11.56
Bahraich,1277799,0,IN,13,27.58,81.6,90.77,4.47
Porgera,2088143,100,PG,99,-5.46,143.15,51.17,1.92
Jumla,1283285,0,NP,35,29.28,82.18,43.79,5.75
Orodara,2577164,20,BF,74,10.98,-4.92,80.6,3.36
Oussouye,2246901,0,SN,58,12.49,-16.54,84.2,11.41
Hambantota,1244926,62,LK,82,6.12,81.12,83.75,13.76
Sitka,4267710,0,US,42,37.17,-99.65,86.0,14.0
Jaen,3696150,91,PE,34,-5.71,-78.81,81.41,6.33
Palestine,4717232,40,US,51,31.76,-95.63,88.0,9.17
Woodward,4556050,1,US,51,36.43,-99.39,84.2,17.22
Ossora,2122389,10,RU,57,59.24,163.07,48.47,7.11
Hun,2790471,40,BE,66,50.34,4.87,59.0,6.93
Roald,3141667,75,NO,57,62.58,6.12,42.8,6.93
Trairi,3386177,100,BR,92,-3.28,-39.27,75.11,4.05
Mega,331259,33,ET,71,4.06,38.32,69.89,8.5
Kolpashevo,1502862,100,RU,69,58.31,82.9,50.09,11.43
Portland,5746545,90,US,72,45.52,-122.67,68.0,8.05
Malm,3146508,75,NO,69,64.07,11.22,44.6,9.17
Energeticheskiy,1524308,40,KZ,76,43.43,77.02,53.6,2.71
Pangai,4032369,20,TO,78,-19.8,-174.35,78.8,16.11
Yuli,2347468,100,NG,45,10.52,9.86,90.41,5.61
Vestmannaeyjar,3412093,0,IS,65,63.44,-20.27,51.71,17.05
Killybegs,2963295,0,IE,76,54.63,-8.45,51.8,10.29
Caravelas,3466980,61,BR,88,-17.73,-39.27,75.65,5.64
Novikovo,712587,0,UA,79,45.05,34.56,59.09,5.53
Petropavlovsk-Kamchatskiy,2122104,0,RU,86,53.05,158.65,41.0,6.71
Husavik,5961417,0,CA,20,50.56,-96.99,66.0,5.01
Homer,5864145,75,US,62,59.64,-151.54,55.4,9.17
Malanje,2239862,0,AO,43,-9.54,16.35,66.11,1.79
Bara,2347758,94,NG,45,10.41,10.6,89.51,11.61
Isangel,2136825,10,VU,75,-19.55,169.27,77.09,6.82
Yangjiang,1806408,23,CN,81,21.85,111.96,79.0,1.74
Marzuq,72181,36,YE,36,14.4,46.47,80.69,6.04
Gobabis,3357247,100,NA,25,-22.45,18.97,60.8,2.24
Deputatskiy,2028164,1,RU,87,69.3,139.9,27.41,0.51
Mamit,1263983,0,IN,95,23.92,92.49,76.55,1.32
Kalmunai,1242110,56,LK,90,7.42,81.82,77.63,2.59
Udachnyy,2014624,0,RU,84,66.42,112.4,44.6,6.71
Geraldton,5960603,75,CA,26,49.72,-86.95,59.0,6.93
Nova Olimpia,3456137,89,BR,59,-14.8,-57.29,85.55,1.43
Yeppoon,2142316,100,AU,82,-23.13,150.74,55.4,3.15
Toamasina,1053384,75,MG,94,-18.17,49.38,69.8,6.93
Along,1278969,18,IN,85,28.17,94.8,54.77,4.38
Mabay,3567597,75,CU,74,20.35,-76.78,82.4,9.17
Broome,2656067,40,GB,87,52.47,1.45,55.0,7.23
Namatanai,2090021,90,PG,88,-3.66,152.44,77.81,6.67
Timbuktu,2449067,100,ML,12,16.77,-3.01,102.83,4.07
Rio Bravo,3590804,40,GT,62,14.4,-91.32,87.8,13.87
Jalu,86049,100,LY,37,29.03,21.55,84.11,23.31
Moundsville,4815462,20,US,53,39.92,-80.74,82.0,5.82
Bosaso,64013,72,SO,71,11.28,49.18,88.79,2.26
Baft,390054,100,IR,48,29.23,56.61,57.83,4.72
Planeta Rica,3672068,100,CO,66,8.41,-75.58,88.43,6.96
Petrokamenskoye,1495144,100,RU,85,57.72,60.65,58.55,11.23
Hokitika,2206894,89,NZ,87,-42.72,170.96,57.83,12.82
Susanville,5572400,75,US,62,40.42,-120.65,59.0,10.29
Manaure,3675504,75,CO,79,11.78,-72.45,86.0,13.87
Butembo,217562,99,CD,96,0.12,29.29,64.67,2.93
Barguzin,2027109,98,RU,64,53.62,109.63,36.41,3.65
Lahaina,5849996,20,US,65,20.87,-156.68,82.4,5.82
Ornskoldsvik,2686469,0,SE,66,63.29,18.72,48.2,4.7
Keti Bandar,1174451,0,PK,83,24.14,67.45,84.11,17.98
Tumbes,3691148,40,PE,33,-3.57,-80.46,89.6,10.29
Kangaatsiaq,3422683,43,GL,62,68.31,-53.46,40.01,10.92
Terrak,3134658,50,NO,80,65.09,12.37,42.01,5.82
Jayuya,4565679,75,PR,83,18.22,-66.59,82.99,5.82
Namwala,901766,5,ZM,62,-15.75,26.45,62.15,4.99
Raudeberg,3146487,40,NO,66,61.99,5.14,42.8,18.34
Pahrump,5509851,20,US,42,36.21,-115.98,70.0,16.11
Ilembula,159218,39,TZ,91,-8.9,34.58,59.09,6.93
Staraya Poltavka,489102,100,RU,73,50.48,46.48,62.69,11.07
Trincomalee,1226260,50,LK,78,8.58,81.23,80.87,6.6
Dunmore Town,3572462,0,BS,65,25.5,-76.65,77.99,11.86
Cerritos,5335663,1,US,52,33.86,-118.05,68.0,12.75
Fairmont,5068953,40,US,69,40.64,-97.59,80.01,3.36
Tonstad,3134327,20,NO,61,58.66,6.71,46.4,20.8
Komsomolskiy,1486910,99,RU,93,67.55,63.78,33.89,8.99
Pasco,5806298,40,US,29,46.24,-119.1,81.0,5.82
Filomeno Mata,3527624,40,MX,59,20.2,-97.7,91.4,9.17
Shimoda,1852357,100,JP,75,34.7,138.93,66.0,1.99
Novyy Urgal,2047258,100,RU,94,51.07,132.56,47.39,8.97
Nikolayevsk-na-amure,2122850,100,RU,94,53.14,140.72,39.11,8.79
Kruisfontein,986717,100,ZA,91,-34.0,24.73,57.47,9.1
